epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
56,16270.1,0.69231,0.54814,1.08384,0.85794,0.81109,0.86247,0.65319,0.91974,0.80008,1.30358,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,16559.6,0.67787,0.53136,1.06961,0.86923,0.79605,0.86152,0.65504,0.90251,0.77132,1.26628,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,16849.5,0.68594,0.53201,1.08186,0.86597,0.82452,0.8661,0.65081,0.90272,0.75663,1.2769,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,17139,0.67322,0.51939,1.07521,0.87621,0.80925,0.86528,0.65358,0.91584,0.76637,1.29253,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,17429.7,0.67231,0.51482,1.07162,0.8621,0.82557,0.86423,0.65503,0.90838,0.77951,1.2811,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,17719.3,0.66711,0.51277,1.06825,0.86779,0.82931,0.87124,0.6619,0.90735,0.82107,1.27823,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,18008.7,0.65981,0.50522,1.06113,0.86884,0.81372,0.86568,0.65335,0.92624,0.86639,1.30552,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,18298,0.65252,0.50555,1.06251,0.83329,0.83664,0.86713,0.66018,0.90995,0.87398,1.29449,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,18587,0.65361,0.50508,1.05937,0.89898,0.8022,0.86324,0.659,0.89392,0.79406,1.28505,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,18877.1,0.63724,0.48428,1.05165,0.88056,0.8265,0.87013,0.663,0.90588,0.7704,1.31126,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
