epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
44,6439.13,0.80108,0.62645,1.08738,0.86206,0.79297,0.85802,0.63819,0.99049,0.78718,1.27661,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,6583.4,0.8115,0.64271,1.09382,0.8845,0.79208,0.86448,0.63415,1.00083,0.81913,1.29255,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,6727.71,0.79184,0.6187,1.09242,0.88177,0.80396,0.85593,0.6354,1.03595,0.79483,1.35926,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,6872.11,0.7912,0.62226,1.08459,0.8523,0.81234,0.85706,0.64258,1.00925,0.74485,1.32261,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,7016.7,0.79045,0.61875,1.08274,0.85901,0.80255,0.86187,0.64147,1.03297,0.77403,1.32161,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,7160.83,0.785,0.62333,1.0797,0.85631,0.81012,0.86643,0.64704,1.0116,0.76885,1.29839,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,7305.43,0.7791,0.60395,1.07708,0.87194,0.80628,0.87041,0.64508,0.99261,0.8646,1.28097,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,7449.74,0.76534,0.60122,1.07102,0.87107,0.81086,0.87387,0.6486,1.04287,0.76367,1.32529,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,7594.1,0.75564,0.58281,1.06467,0.87293,0.80999,0.87128,0.64367,1.03044,0.7164,1.34001,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,7738.86,0.75643,0.56713,1.05857,0.88822,0.80628,0.87097,0.64378,1.00824,0.75492,1.28726,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,7883.98,0.73789,0.57188,1.0575,0.86174,0.82953,0.87139,0.65459,1.01222,0.73141,1.32037,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,8029.04,0.74405,0.57016,1.0542,0.89728,0.78563,0.86716,0.65405,0.95664,0.73765,1.24423,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,8173.71,0.73368,0.55569,1.05195,0.86337,0.81778,0.87237,0.64766,1.00224,0.77558,1.26335,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,8318.38,0.73021,0.55122,1.0484,0.87801,0.82402,0.87238,0.65162,0.99352,0.72534,1.26339,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,8463,0.70867,0.54057,1.03499,0.86377,0.82356,0.87184,0.6577,0.97406,0.75107,1.24664,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,8607.71,0.71845,0.54111,1.04377,0.885,0.79858,0.87128,0.65992,0.96935,0.75281,1.26318,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,8757.78,0.70836,0.53436,1.03936,0.85099,0.82674,0.86901,0.65549,1.00564,0.73564,1.30693,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,8909.5,0.70704,0.52107,1.03743,0.88355,0.79787,0.86737,0.65111,0.98565,0.77019,1.29014,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,9061.18,0.69874,0.52082,1.03137,0.86644,0.82578,0.87011,0.65971,1.00913,0.70476,1.33888,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,9213.26,0.69698,0.51641,1.02855,0.85208,0.82389,0.8655,0.65718,1.01599,0.73088,1.34921,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,9365.12,0.6787,0.50656,1.02038,0.87376,0.80581,0.86068,0.64827,1.02094,0.73513,1.37276,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,9513.94,0.67763,0.50807,1.02175,0.88933,0.79454,0.86243,0.65145,0.99877,0.71048,1.32718,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,9659.96,0.67633,0.49597,1.02204,0.88614,0.80531,0.85964,0.64869,0.99921,0.7328,1.3471,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,9804.86,0.66777,0.49288,1.01109,0.90269,0.7958,0.86659,0.65676,1.00145,0.73757,1.33952,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,9949.6,0.66026,0.49038,1.01672,0.89235,0.80377,0.86128,0.65099,0.98572,0.74074,1.33283,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,10094.3,0.66184,0.48551,1.0135,0.89793,0.80288,0.87297,0.65963,0.99054,0.72371,1.31831,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
